216 2399 6254 7159	0.4361404
384 2399 6254 7159	0.436139
384 1856 6254 7159	0.4361302
216 384 6254 7159	0.4361282
345 6254 7159 7778	0.4361274
345 4456 6254 7159	0.4361264
1856 2399 6254 7159	0.4361204
216 345 6254 7159	0.4361202
216 384 2399 6254	0.4361172
345 6254 7159 9194	0.4361166
216 1856 6254 7159	0.4361088
345 5494 6254 7159	0.4361086
384 4456 6254 7159	0.4361078
345 384 1856 6254	0.4361056
2399 4456 6254 7159	0.4361048
216 4456 6254 7159	0.4361018
1856 4456 6254 7159	0.4360986
2399 6254 7159 7778	0.4360974
1856 6254 7159 7778	0.4360958
345 384 2399 6254	0.4360918
216 345 384 6254	0.436091
1856 6254 7159 9194	0.4360878
2399 5494 6254 7159	0.4360872
384 5494 6254 7159	0.4360872
384 6254 7159 7778	0.4360858
216 384 1856 6254	0.436084
216 345 2399 6254	0.4360824
2399 6254 7159 9194	0.4360802
384 6254 7159 9194	0.43608
216 1856 2399 6254	0.4360782
216 2399 4456 6254	0.4360764
345 1856 6254 9194	0.4360754
1856 5494 6254 7159	0.436075
345 384 4456 6254	0.4360744
4456 6254 7159 7778	0.4360742
216 384 4456 6254	0.436074
345 1856 2399 6254	0.436073
216 6254 7159 7778	0.4360712
345 384 6254 9194	0.43607
384 1856 2399 6254	0.4360698
216 345 1856 6254	0.4360696
216 5494 6254 7159	0.4360686
345 1856 6254 7778	0.4360638
5494 6254 7159 7778	0.4360622
345 384 6254 7778	0.4360574
216 2399 6254 7778	0.436057
345 1856 4456 6254	0.4360562
4456 6254 7159 9194	0.4360548
345 2399 6254 9194	0.436054
216 6254 7159 9194	0.4360534
4456 5494 6254 7159	0.4360532
384 2399 4456 6254	0.4360522
216 2399 5494 6254	0.436051
345 384 5494 6254	0.4360508
216 345 4456 6254	0.4360492
216 2399 6254 9194	0.4360486
6254 7159 7778 9194	0.4360462
345 2399 4456 6254	0.4360456
216 384 5494 6254	0.4360452
345 2399 6254 7778	0.436045
216 1856 4456 6254	0.4360436
384 1856 6254 9194	0.4360418
216 384 6254 7778	0.4360412
384 2399 6254 9194	0.436041
384 1856 4456 6254	0.4360404
384 2399 5494 6254	0.4360402
216 384 6254 9194	0.4360394
345 6254 7778 9194	0.436039
384 2399 6254 7778	0.4360382
345 4456 6254 9194	0.436036
345 4456 6254 7778	0.4360338
345 1856 5494 6254	0.436033
1856 2399 6254 9194	0.4360304
216 345 6254 7778	0.4360294
216 345 6254 9194	0.4360268
345 2399 5494 6254	0.4360258
216 1856 6254 7778	0.4360256
5494 6254 7159 9194	0.4360246
384 1856 6254 7778	0.4360246
216 1856 6254 9194	0.4360242
1856 2399 6254 7778	0.4360226
216 4456 6254 7778	0.436021
384 1856 5494 6254	0.436021
345 5494 6254 7778	0.4360208
1856 2399 4456 6254	0.4360136
216 4456 6254 9194	0.4360132
384 4456 6254 7778	0.4360128
216 345 5494 6254	0.4360118
2399 4456 6254 7778	0.4360108
384 4456 6254 9194	0.4360106
1856 4456 6254 9194	0.4360106
1856 6254 7778 9194	0.4360104
216 1856 5494 6254	0.4360096
2399 5494 6254 7778	0.4360078
1856 4456 6254 7778	0.4360072
